#       point_x         point_y         point_z             U_x             U_y             U_z               p
            0.1          -0.096          -0.096      -0.8635344    0.0012043897    0.0012530244     -0.54727855
            0.1            -0.1          -0.096               0               0               0     -0.54705778
            0.1            -0.1            -0.1               0               0               0      -0.5468387
            0.1          -0.096            -0.1               0               0               0      -0.5470545
            0.1          -0.092          -0.096      -0.9311395    0.0012025342    0.0010925603     -0.54796254
            0.1          -0.092            -0.1               0               0               0     -0.54771884
            0.1          -0.088          -0.096     -0.92293184   9.9568882e-05    0.0012151706     -0.54898233
            0.1          -0.088            -0.1               0               0               0     -0.54873089
            0.1          -0.084          -0.096     -0.89317721   -0.0015590325    0.0015763743      -0.5501475
            0.1          -0.084            -0.1               0               0               0     -0.54991069
            0.1           -0.08          -0.096      -0.8555241   -0.0037219325     0.001771694     -0.55136329
            0.1           -0.08            -0.1               0               0               0     -0.55113979
            0.1          -0.076          -0.096     -0.81363893   -0.0065719816    0.0021828268     -0.55250525
            0.1          -0.076            -0.1               0               0               0     -0.55230359
            0.1          -0.072          -0.096     -0.76908378    -0.010396838    0.0030155904     -0.55345246
            0.1          -0.072            -0.1               0               0               0     -0.55328385
            0.1          -0.068          -0.096     -0.72257718    -0.015551377    0.0043168802     -0.55408001
            0.1          -0.068            -0.1               0               0               0     -0.55395988
            0.1          -0.064          -0.096     -0.67420042    -0.022443548    0.0061283815      -0.5542629
            0.1          -0.064            -0.1               0               0               0     -0.55421357
            0.1           -0.06          -0.096     -0.62421359    -0.031425414    0.0084642001     -0.55390738
            0.1           -0.06            -0.1               0               0               0     -0.55394661
            0.1          -0.056          -0.096     -0.57324397    -0.042844855     0.011132938     -0.55295857
            0.1          -0.056            -0.1               0               0               0     -0.55309762
            0.1          -0.052          -0.096     -0.52145787    -0.057018362     0.013962383     -0.55143381
            0.1          -0.052            -0.1               0               0               0     -0.55166745
            0.1          -0.048          -0.096     -0.46942067    -0.074067316     0.016919314      -0.5494405
            0.1          -0.048            -0.1               0               0               0     -0.54977459
            0.1          -0.044          -0.096     -0.41779936    -0.093771776     0.019677075     -0.54713637
            0.1          -0.044            -0.1               0               0               0     -0.54758516
            0.1           -0.04          -0.096     -0.36617011     -0.11504615     0.021971045     -0.54459179
            0.1           -0.04            -0.1               0               0               0     -0.54512027
            0.1          -0.036          -0.096     -0.31174797     -0.13543167     0.024231123     -0.54181729
            0.1          -0.036            -0.1               0               0               0     -0.54234093
            0.1          -0.032          -0.096     -0.24930096     -0.15072886     0.026523692     -0.53884748
            0.1          -0.032            -0.1               0               0               0     -0.53925418
            0.1          -0.028          -0.096     -0.17370231     -0.15562031     0.028053064     -0.53559473
            0.1          -0.028            -0.1               0               0               0     -0.53576459
            0.1          -0.024          -0.096    -0.083119253     -0.14671359     0.027707588     -0.53200189
            0.1          -0.024            -0.1               0               0               0     -0.53183318
            0.1           -0.02          -0.096     0.017799429     -0.12649874     0.024603306     -0.52849491
            0.1           -0.02            -0.1               0               0               0     -0.52798523
            0.1          -0.016          -0.096      0.11527413       -0.102303     0.020216791      -0.5254854
            0.1          -0.016            -0.1               0               0               0     -0.52478284
            0.1          -0.012          -0.096      0.20051276    -0.077462625     0.016884294     -0.52308958
            0.1          -0.012            -0.1               0               0               0     -0.52235982
            0.1          -0.008          -0.096      0.27270788    -0.050580709     0.015103575     -0.52161102
            0.1          -0.008            -0.1               0               0               0     -0.52100392
            0.1          -0.004          -0.096      0.32486322    -0.021983645     0.013922007     -0.52151345
            0.1          -0.004            -0.1               0               0               0     -0.52106426
            0.1  -1.9825411e-18          -0.096      0.33698626    0.0084871623     0.013105489     -0.52261964
            0.1  -1.9825411e-18            -0.1               0               0               0     -0.52220861
            0.1           0.004          -0.096      0.30002292     0.039128311     0.013228956     -0.52466491
            0.1           0.004            -0.1               0               0               0     -0.52415879
            0.1           0.008          -0.096      0.23241989     0.067580984     0.014225181     -0.52771583
            0.1           0.008            -0.1               0               0               0     -0.52707336
            0.1           0.012          -0.096      0.15110102     0.093869535     0.016297161     -0.53137709
            0.1           0.012            -0.1               0               0               0     -0.53071773
            0.1           0.016          -0.096     0.058732901      0.11895077     0.019929888     -0.53513104
            0.1           0.016            -0.1               0               0               0     -0.53457372
            0.1            0.02          -0.096    -0.040842288      0.14228917     0.023972828     -0.53881922
            0.1            0.02            -0.1               0               0               0     -0.53849295
            0.1           0.024          -0.096     -0.13542164      0.15758851     0.026304037     -0.54224504
            0.1           0.024            -0.1               0               0               0     -0.54222544
            0.1           0.028          -0.096     -0.21585934      0.15959999     0.026369594     -0.54508023
            0.1           0.028            -0.1               0               0               0     -0.54530066
            0.1           0.032          -0.096     -0.28098938      0.14904999     0.024835252     -0.54740192
            0.1           0.032            -0.1               0               0               0      -0.5477954
            0.1           0.036          -0.096     -0.33421442      0.13022916     0.022459312     -0.54947936
            0.1           0.036            -0.1               0               0               0     -0.54995684
            0.1            0.04          -0.096     -0.38123455      0.10825755     0.019956377     -0.55140438
            0.1            0.04            -0.1               0               0               0     -0.55186947
            0.1           0.044          -0.096     -0.42710926     0.086817001     0.017495595     -0.55314173
            0.1           0.044            -0.1               0               0               0      -0.5535237
            0.1           0.048          -0.096      -0.4743139     0.067782323      0.01477345     -0.55467604
            0.1           0.048            -0.1               0               0               0     -0.55494261
            0.1           0.052          -0.096     -0.52299339     0.051850296     0.011828447     -0.55592387
            0.1           0.052            -0.1               0               0               0     -0.55608679
            0.1           0.056          -0.096     -0.57238124     0.039018545    0.0090700967     -0.55673918
            0.1           0.056            -0.1               0               0               0     -0.55680634
            0.1            0.06          -0.096     -0.62196295      0.02896206    0.0068262905     -0.55703404
            0.1            0.06            -0.1               0               0               0     -0.55701562
            0.1           0.064          -0.096     -0.67117256     0.021237601    0.0051737804     -0.55680855
            0.1           0.064            -0.1               0               0               0     -0.55672394
            0.1           0.068          -0.096     -0.71948691     0.015353625    0.0037505391     -0.55612919
            0.1           0.068            -0.1               0               0               0     -0.55599459
            0.1           0.072          -0.096     -0.76677562     0.010882582     0.002879632     -0.55508952
            0.1           0.072            -0.1               0               0               0     -0.55492782
            0.1           0.076          -0.096     -0.81247679      0.00742009    0.0026829136     -0.55380107
            0.1           0.076            -0.1               0               0               0     -0.55362689
            0.1            0.08          -0.096     -0.85577952    0.0045889726    0.0025080423     -0.55238437
            0.1            0.08            -0.1               0               0               0      -0.5521964
            0.1           0.084          -0.096     -0.89499418    0.0021343506    0.0023411388       -0.550954
            0.1           0.084            -0.1               0               0               0     -0.55075151
            0.1           0.088          -0.096      -0.9258213   2.7228245e-05    0.0022518551      -0.5496135
            0.1           0.088            -0.1               0               0               0     -0.54939228
