#       point_x         point_y         point_z             U_x             U_y             U_z               p
           0.35          -0.096          -0.096      0.15717089    -0.095941905    -0.097941745               0
           0.35            -0.1          -0.096      0.11505907     -0.03853854     -0.04407029     0.026407271
           0.35            -0.1            -0.1     0.095474984    -0.022353713    -0.022411675     0.038156256
           0.35          -0.096            -0.1      0.11549774    -0.043806541    -0.039400056     0.026537668
           0.35          -0.092          -0.096     0.038044572     -0.13037575     -0.11171815               0
           0.35          -0.092            -0.1     0.066309631    -0.062112672    -0.047265334     0.023573836
           0.35          -0.088          -0.096    -0.043764664     -0.15154805     -0.11468439               0
           0.35          -0.088            -0.1     0.027434193    -0.072531125     -0.04875599     0.022221921
           0.35          -0.084          -0.096     -0.10454914     -0.15847482     -0.11096912               0
           0.35          -0.084            -0.1   -0.0026000718    -0.074990737    -0.046759437     0.021297578
           0.35           -0.08          -0.096      -0.1490702      -0.1589825     -0.10470393               0
           0.35           -0.08            -0.1    -0.025177227    -0.074394356    -0.043753875     0.020123209
           0.35          -0.076          -0.096     -0.18329586     -0.15640757    -0.097637612               0
           0.35          -0.076            -0.1     -0.04350232    -0.072714479    -0.040496184     0.018610551
           0.35          -0.072          -0.096      -0.2107436     -0.15172611    -0.090396662               0
           0.35          -0.072            -0.1    -0.059299551    -0.070299273    -0.037188823     0.016975874
           0.35          -0.068          -0.096     -0.23293659     -0.14536427    -0.083317493               0
           0.35          -0.068            -0.1    -0.073096434    -0.067219552    -0.034017004     0.015333027
           0.35          -0.064          -0.096     -0.25101384     -0.13776968    -0.076555357               0
           0.35          -0.064            -0.1    -0.085256476    -0.063635294    -0.031060015     0.013726944
           0.35           -0.06          -0.096     -0.26599773     -0.12940508    -0.070175527               0
           0.35           -0.06            -0.1    -0.096089865    -0.059753334    -0.028337599     0.012196406
           0.35          -0.056          -0.096     -0.27881489     -0.12065473    -0.064216133               0
           0.35          -0.056            -0.1     -0.10587822    -0.055743942    -0.025848755      0.01077585
           0.35          -0.052          -0.096     -0.29026556     -0.11179736    -0.058720696               0
           0.35          -0.052            -0.1     -0.11487083    -0.051722678    -0.023594053    0.0094880256
           0.35          -0.048          -0.096     -0.30098765     -0.10301237    -0.053735678               0
           0.35          -0.048            -0.1     -0.12326885    -0.047758536    -0.021577283    0.0083449122
           0.35          -0.044          -0.096     -0.31143846    -0.094398229    -0.049297482               0
           0.35          -0.044            -0.1     -0.13121561    -0.043885203    -0.019801411      0.00734989
           0.35           -0.04          -0.096      -0.3218944    -0.085992551    -0.045431929               0
           0.35           -0.04            -0.1     -0.13879608    -0.040109662    -0.018269097    0.0065004308
           0.35          -0.036          -0.096     -0.33246858    -0.077778051    -0.042156256               0
           0.35          -0.036            -0.1     -0.14604364    -0.036412264    -0.016981694    0.0057899392
           0.35          -0.032          -0.096     -0.34314019    -0.069692857    -0.039462997               0
           0.35          -0.032            -0.1     -0.15294951    -0.032751878    -0.015931108    0.0052081461
           0.35          -0.028          -0.096     -0.35377885    -0.061654427    -0.037313562               0
           0.35          -0.028            -0.1      -0.1594714    -0.029079819    -0.015097714    0.0047417735
           0.35          -0.024          -0.096     -0.36416213    -0.053578334    -0.035648174               0
           0.35          -0.024            -0.1     -0.16553989    -0.025350235    -0.014454787    0.0043755673
           0.35           -0.02          -0.096     -0.37399499    -0.045389401    -0.034395622               0
           0.35           -0.02            -0.1     -0.17106447    -0.021525444     -0.01397236    0.0040932835
           0.35          -0.016          -0.096     -0.38292697    -0.037029325    -0.033479357               0
           0.35          -0.016            -0.1     -0.17593601    -0.017578885    -0.013619341    0.0038790568
           0.35          -0.012          -0.096     -0.39057436    -0.028470042    -0.032823329               0
           0.35          -0.012            -0.1     -0.18003127    -0.013503163    -0.013365471    0.0037178497
           0.35          -0.008          -0.096     -0.39653234    -0.019704597    -0.032354767               0
           0.35          -0.008            -0.1     -0.18320782   -0.0093022955    -0.013180982     0.003599002
           0.35          -0.004          -0.096     -0.40045416    -0.010800592    -0.032029086               0
           0.35          -0.004            -0.1     -0.18534924   -0.0050319819    -0.013049112    0.0035105311
           0.35               0          -0.096     -0.40193043   -0.0017616988    -0.031831789               0
           0.35               0            -0.1     -0.18625711  -0.00069521557    -0.012965095    0.0034578885
           0.35           0.004          -0.096     -0.40064151    0.0072916989    -0.031779459               0
           0.35           0.004            -0.1     -0.18572838    0.0036357134    -0.012937595    0.0034593255
           0.35           0.008          -0.096     -0.39684951     0.016225258    -0.031911243               0
           0.35           0.008            -0.1     -0.18389823    0.0078878956    -0.012985517    0.0035052477
           0.35           0.012          -0.096      -0.3910447     0.025048639    -0.032246585               0
           0.35           0.012            -0.1     -0.18099873     0.012076728     -0.01311323    0.0035888565
           0.35           0.016          -0.096     -0.38363696     0.033720144     -0.03281995               0
           0.35           0.016            -0.1     -0.17716912     0.016165279    -0.013331495    0.0037216923
           0.35            0.02          -0.096     -0.37507409     0.042251282    -0.033696477               0
           0.35            0.02            -0.1     -0.17256735      0.02015414    -0.013666895    0.0039156854
           0.35           0.024          -0.096     -0.36577304      0.05067651      -0.0349428               0
           0.35           0.024            -0.1     -0.16733297     0.024056857    -0.014145859    0.0041856268
           0.35           0.028          -0.096     -0.35609751     0.059051904    -0.036624034               0
           0.35           0.028            -0.1     -0.16158613      0.02790055    -0.014794692    0.0045470347
           0.35           0.032          -0.096     -0.34633234     0.067444271    -0.038800987               0
           0.35           0.032            -0.1     -0.15542031     0.031719365    -0.015639001    0.0050155042
           0.35           0.036          -0.096     -0.33666762     0.075924962    -0.041526207               0
           0.35           0.036            -0.1     -0.14889954     0.035552521    -0.016702482    0.0056054728
           0.35            0.04          -0.096     -0.32718316     0.084562082    -0.044835042               0
           0.35            0.04            -0.1     -0.14205354     0.039441356    -0.018003473    0.0063292579
           0.35           0.044          -0.096     -0.31783701     0.093404778    -0.048733013               0
           0.35           0.044            -0.1     -0.13487263     0.043420952    -0.019549474    0.0071958694
           0.35           0.048          -0.096     -0.30845237      0.10245935     -0.05319821               0
           0.35           0.048            -0.1     -0.12730358     0.047506303    -0.021337533    0.0082101746
           0.35           0.052          -0.096     -0.29869275      0.11167725    -0.058198051               0
           0.35           0.052            -0.1     -0.11924195     0.051686045     -0.02336226    0.0093725211
           0.35           0.056          -0.096     -0.28804495       0.1209488    -0.063688994               0
           0.35           0.056            -0.1     -0.11052574     0.055921794    -0.025617597     0.010676929
           0.35            0.06          -0.096     -0.27582198      0.13008375    -0.069616887               0
           0.35            0.06            -0.1     -0.10093665     0.060139891    -0.028096905     0.012108407
           0.35           0.064          -0.096     -0.26118305      0.13879202    -0.075931099               0
           0.35           0.064            -0.1    -0.090209851     0.064219848    -0.030797526     0.013640594
           0.35           0.068          -0.096     -0.24317033      0.14667547    -0.082589402               0
           0.35           0.068            -0.1    -0.078049924     0.067985025    -0.033720329     0.015234507
           0.35           0.072          -0.096     -0.22074167      0.15324009    -0.089529945               0
           0.35           0.072            -0.1    -0.064136115      0.07120641    -0.036849574     0.016844586
           0.35           0.076          -0.096     -0.19274517      0.15797391    -0.096598627               0
           0.35           0.076            -0.1    -0.048091196     0.073670555    -0.040108255     0.018428169
           0.35            0.08          -0.096     -0.15763649      0.16040261     -0.10346249               0
           0.35            0.08            -0.1    -0.029346642     0.075255702    -0.043302405     0.019899854
           0.35           0.084          -0.096     -0.11212725      0.15962494     -0.10953221               0
