#       point_x         point_y         point_z             U_x             U_y             U_z               p
            0.1          -0.096          -0.096     -0.86687239     0.049159593    -0.035399696     -0.56624585
            0.1            -0.1          -0.096               0               0               0     -0.56672999
            0.1            -0.1            -0.1               0               0               0     -0.56482384
            0.1          -0.096            -0.1               0               0               0     -0.56448827
            0.1          -0.092          -0.096     -0.93757226     0.085688879    -0.025220764     -0.56752547
            0.1          -0.092            -0.1               0               0               0     -0.56620519
            0.1          -0.088          -0.096     -0.97203819      0.11408337     -0.01400569     -0.57095123
            0.1          -0.088            -0.1               0               0               0     -0.57019853
            0.1          -0.084          -0.096     -0.98093776      0.13053953     -0.00315505     -0.57467436
            0.1          -0.084            -0.1               0               0               0     -0.57444556
            0.1           -0.08          -0.096     -0.95903351      0.13678566    0.0050335534     -0.57903839
            0.1           -0.08            -0.1               0               0               0     -0.57922537
            0.1          -0.076          -0.096     -0.89989667      0.13304855    0.0090991666      -0.5839085
            0.1          -0.076            -0.1               0               0               0     -0.58435486
            0.1          -0.072          -0.096     -0.80616339      0.12086599    0.0094189593     -0.58911207
            0.1          -0.072            -0.1               0               0               0     -0.58962106
            0.1          -0.068          -0.096     -0.69486112      0.10297648    0.0075469885     -0.59415085
            0.1          -0.068            -0.1               0               0               0     -0.59445453
            0.1          -0.064          -0.096     -0.59390717      0.08455992    0.0029255155     -0.59846359
            0.1          -0.064            -0.1               0               0               0     -0.59834262
            0.1           -0.06          -0.096     -0.52376933     0.072489293   -0.0050736013     -0.60173613
            0.1           -0.06            -0.1               0               0               0     -0.60104375
            0.1          -0.056          -0.096     -0.48006262     0.069827168    -0.013907167     -0.60401064
            0.1          -0.056            -0.1               0               0               0     -0.60269795
            0.1          -0.052          -0.096     -0.44730353     0.074003955    -0.020291939     -0.60557442
            0.1          -0.052            -0.1               0               0               0     -0.60377446
            0.1          -0.048          -0.096     -0.41821636     0.081359096     -0.02241984     -0.60690129
            0.1          -0.048            -0.1               0               0               0     -0.60488542
            0.1          -0.044          -0.096      -0.3920802     0.089061435    -0.020246665     -0.60850898
            0.1          -0.044            -0.1               0               0               0     -0.60660131
            0.1           -0.04          -0.096     -0.36953884     0.095132312    -0.014715328     -0.61072396
            0.1           -0.04            -0.1               0               0               0     -0.60919921
            0.1          -0.036          -0.096     -0.35069798      0.09844572   -0.0068378504     -0.61367918
            0.1          -0.036            -0.1               0               0               0     -0.61269594
            0.1          -0.032          -0.096     -0.33367139     0.098531136    0.0014151966     -0.61748556
            0.1          -0.032            -0.1               0               0               0     -0.61705867
            0.1          -0.028          -0.096     -0.31206575     0.095766372    0.0067590783     -0.62233156
            0.1          -0.028            -0.1               0               0               0     -0.62237402
            0.1          -0.024          -0.096     -0.27589147      0.09090452    0.0073370174     -0.62819856
            0.1          -0.024            -0.1               0               0               0     -0.62853075
            0.1           -0.02          -0.096     -0.21931987     0.083023002    0.0051566802     -0.63440275
            0.1           -0.02            -0.1               0               0               0     -0.63479346
            0.1          -0.016          -0.096     -0.14518183     0.071638529    0.0037984765     -0.63947884
            0.1          -0.016            -0.1               0               0               0     -0.63976298
            0.1          -0.012          -0.096    -0.055721789     0.058768791    0.0054428518     -0.64206494
            0.1          -0.012            -0.1               0               0               0     -0.64217964
            0.1          -0.008          -0.096     0.063447674     0.040762435     0.009436557     -0.64164554
            0.1          -0.008            -0.1               0               0               0      -0.6417586
            0.1          -0.004          -0.096      0.21892701     0.022822963     0.011974188     -0.63697626
            0.1          -0.004            -0.1               0               0               0      -0.6372993
            0.1  -1.9825424e-18          -0.096      0.36765659     0.015452951     0.010762243     -0.62765685
            0.1  -1.9825424e-18            -0.1               0               0               0     -0.62815109
            0.1           0.004          -0.096      0.46651458     0.016115114    0.0088000346     -0.61600467
            0.1           0.004            -0.1               0               0               0      -0.6165841
            0.1           0.008          -0.096      0.51411837     0.019952397     0.010388698     -0.60457111
            0.1           0.008            -0.1               0               0               0     -0.60518023
            0.1           0.012          -0.096      0.51981796     0.024204371     0.015234965     -0.59481344
            0.1           0.012            -0.1               0               0               0     -0.59538424
            0.1           0.016          -0.096      0.48870581     0.028445878     0.019617296     -0.58742963
            0.1           0.016            -0.1               0               0               0     -0.58789425
            0.1            0.02          -0.096       0.4263041     0.034275115     0.020139434     -0.58266338
            0.1            0.02            -0.1               0               0               0     -0.58289608
            0.1           0.024          -0.096       0.3432442     0.043228538     0.016514624     -0.58024584
            0.1           0.024            -0.1               0               0               0     -0.58021027
            0.1           0.028          -0.096      0.24813844     0.055070715     0.012418908     -0.57963033
            0.1           0.028            -0.1               0               0               0     -0.57947273
            0.1           0.032          -0.096      0.14553765     0.069359252     0.010086072     -0.58023007
            0.1           0.032            -0.1               0               0               0      -0.5800919
            0.1           0.036          -0.096     0.033525627      0.08850062    0.0086328167     -0.58161456
            0.1           0.036            -0.1               0               0               0     -0.58159156
            0.1            0.04          -0.096    -0.082867987      0.11220268    0.0074419092     -0.58345582
            0.1            0.04            -0.1               0               0               0     -0.58357718
            0.1           0.044          -0.096     -0.18662641      0.13372642     0.006447485     -0.58526287
            0.1           0.044            -0.1               0               0               0      -0.5854689
            0.1           0.048          -0.096     -0.26825126       0.1479187    0.0054199724     -0.58661458
            0.1           0.048            -0.1               0               0               0     -0.58683585
            0.1           0.052          -0.096     -0.32815845      0.15464799    0.0043808852     -0.58740291
            0.1           0.052            -0.1               0               0               0     -0.58759445
            0.1           0.056          -0.096     -0.37181393      0.15594641    0.0036574207     -0.58772047
            0.1           0.056            -0.1               0               0               0      -0.5878598
            0.1            0.06          -0.096     -0.40621029      0.15398671     0.003642165     -0.58767506
            0.1            0.06            -0.1               0               0               0     -0.58775818
            0.1           0.064          -0.096     -0.43785156      0.15015063    0.0047640364     -0.58728958
            0.1           0.064            -0.1               0               0               0     -0.58734823
            0.1           0.068          -0.096      -0.4720118      0.14488016    0.0074021944     -0.58650238
            0.1           0.068            -0.1               0               0               0     -0.58658981
            0.1           0.072          -0.096     -0.51272134      0.13805992     0.011328965     -0.58523687
            0.1           0.072            -0.1               0               0               0     -0.58540652
            0.1           0.076          -0.096     -0.56294279       0.1294073      0.01594061     -0.58346192
            0.1           0.076            -0.1               0               0               0     -0.58376144
            0.1            0.08          -0.096     -0.62427844      0.11852876      0.02118928     -0.58122305
            0.1            0.08            -0.1               0               0               0     -0.58165357
            0.1           0.084          -0.096     -0.69655542      0.10454716     0.027319752     -0.57863852
            0.1           0.084            -0.1               0               0               0     -0.57918295
            0.1           0.088          -0.096     -0.77724153     0.086588203     0.034405859     -0.57574003
            0.1           0.088            -0.1               0               0               0     -0.57632946
            0.1           0.092          -0.096     -0.85664543     0.062469694      0.04174409     -0.57289282
            0.1           0.092            -0.1               0               0               0     -0.57346356
            0.1           0.096          -0.096     -0.88164013     0.033871114     0.046924809     -0.57000737
            0.1           0.096            -0.1               0               0               0     -0.57040722
            0.1             0.1            -0.1               0               0               0      -0.5686661
            0.1             0.1          -0.096               0               0               0     -0.56843109
