#       point_x         point_y         point_z             U_x             U_y             U_z               p
            0.1          -0.096          -0.096     -0.93578913     0.012264345   -0.0035996623     -0.83838115
            0.1            -0.1          -0.096               0               0               0     -0.83883149
            0.1            -0.1            -0.1               0               0               0     -0.83777911
            0.1          -0.096            -0.1               0               0               0     -0.83740026
            0.1          -0.092          -0.096       -1.012567     0.021875679   -0.0032047199     -0.83748178
            0.1          -0.092            -0.1               0               0               0     -0.83659944
            0.1          -0.088          -0.096      -1.0154714     0.028589402  -0.00040690513     -0.83623337
            0.1          -0.088            -0.1               0               0               0     -0.83542888
            0.1          -0.084          -0.096     -0.98725892     0.031783704    0.0025866064     -0.83447707
            0.1          -0.084            -0.1               0               0               0     -0.83377413
            0.1           -0.08          -0.096     -0.94177782     0.032457147    0.0054481231     -0.83232955
            0.1           -0.08            -0.1               0               0               0     -0.83172792
            0.1          -0.076          -0.096     -0.88462777      0.03107637    0.0077129964     -0.82978539
            0.1          -0.076            -0.1               0               0               0     -0.82927221
            0.1          -0.072          -0.096      -0.8188074     0.028356396    0.0090421197     -0.82691318
            0.1          -0.072            -0.1               0               0               0     -0.82647257
            0.1          -0.068          -0.096     -0.74836104     0.024823359    0.0097684827     -0.82371941
            0.1          -0.068            -0.1               0               0               0     -0.82333386
            0.1          -0.064          -0.096     -0.67824715     0.020972385    0.0098013344     -0.82019999
            0.1          -0.064            -0.1               0               0               0      -0.8198364
            0.1           -0.06          -0.096     -0.61229378     0.017101969    0.0091570557     -0.81630491
            0.1           -0.06            -0.1               0               0               0     -0.81595244
            0.1          -0.056          -0.096     -0.55151197     0.013240243    0.0088194851     -0.81195869
            0.1          -0.056            -0.1               0               0               0     -0.81166118
            0.1          -0.052          -0.096     -0.49529628    0.0091159358    0.0093888763     -0.80710821
            0.1          -0.052            -0.1               0               0               0     -0.80689153
            0.1          -0.048          -0.096      -0.4419327     0.004171821     0.011321574     -0.80173313
            0.1          -0.048            -0.1               0               0               0     -0.80160103
            0.1          -0.044          -0.096     -0.38964334   -0.0022266787     0.014997704      -0.7958706
            0.1          -0.044            -0.1               0               0               0      -0.7958684
            0.1           -0.04          -0.096     -0.33644051     -0.01030824     0.019512387     -0.78964129
            0.1           -0.04            -0.1               0               0               0      -0.7897699
            0.1          -0.036          -0.096      -0.2777359    -0.019560628      0.02453781     -0.78325159
            0.1          -0.036            -0.1               0               0               0     -0.78346859
            0.1          -0.032          -0.096      -0.2035285    -0.027124229     0.028874877     -0.77714818
            0.1          -0.032            -0.1               0               0               0     -0.77748512
            0.1          -0.028          -0.096    -0.087481872    -0.022513591     0.026028754     -0.77223301
            0.1          -0.028            -0.1               0               0               0     -0.77279783
            0.1          -0.024          -0.096     0.092849304     0.017746141    0.0081897338     -0.76955463
            0.1          -0.024            -0.1               0               0               0     -0.77058364
            0.1           -0.02          -0.096      0.25694795     0.076906327   -0.0073770737     -0.77061305
            0.1           -0.02            -0.1               0               0               0     -0.77196988
            0.1          -0.016          -0.096      0.35257529      0.12281085   -0.0073898698     -0.77584419
            0.1          -0.016            -0.1               0               0               0     -0.77709272
            0.1          -0.012          -0.096       0.4168356      0.15596973   -0.0019329965     -0.78371291
            0.1          -0.012            -0.1               0               0               0     -0.78469508
            0.1          -0.008          -0.096      0.45699391        0.177873    0.0046385984     -0.79275419
            0.1          -0.008            -0.1               0               0               0     -0.79347675
            0.1          -0.004          -0.096      0.47441027      0.19012227     0.010175415     -0.80221538
            0.1          -0.004            -0.1               0               0               0     -0.80276532
            0.1  -1.9825424e-18          -0.096      0.46919676      0.19394069     0.013306178     -0.81157786
            0.1  -1.9825424e-18            -0.1               0               0               0     -0.81205266
            0.1           0.004          -0.096      0.44206504      0.19087146     0.013322621     -0.82021227
            0.1           0.004            -0.1               0               0               0     -0.82066765
            0.1           0.008          -0.096      0.39591452      0.18315313     0.010647519     -0.82756499
            0.1           0.008            -0.1               0               0               0     -0.82798943
            0.1           0.012          -0.096      0.33581616      0.17339313    0.0064320567     -0.83336312
            0.1           0.012            -0.1               0               0               0     -0.83371916
            0.1           0.016          -0.096       0.2675842      0.16410079    0.0015067478     -0.83761594
            0.1           0.016            -0.1               0               0               0     -0.83786196
            0.1            0.02          -0.096      0.19649811      0.15721187   -0.0032900965     -0.84052769
            0.1            0.02            -0.1               0               0               0     -0.84061128
            0.1           0.024          -0.096      0.12647096      0.15369763   -0.0070765907     -0.84240463
            0.1           0.024            -0.1               0               0               0     -0.84229537
            0.1           0.028          -0.096     0.059529281      0.15346766   -0.0092100254     -0.84355903
            0.1           0.028            -0.1               0               0               0     -0.84327265
            0.1           0.032          -0.096   -0.0037056895       0.1554463   -0.0091942747     -0.84424075
            0.1           0.032            -0.1               0               0               0     -0.84381807
            0.1           0.036          -0.096    -0.063586123      0.15811444   -0.0068846357     -0.84460778
            0.1           0.036            -0.1               0               0               0     -0.84410571
            0.1            0.04          -0.096      -0.1216726      0.16010794   -0.0028257817     -0.84475906
            0.1            0.04            -0.1               0               0               0     -0.84426523
            0.1           0.044          -0.096     -0.17988982       0.1603955    0.0018114337     -0.84471701
            0.1           0.044            -0.1               0               0               0     -0.84433822
            0.1           0.048          -0.096     -0.24003742      0.15839858    0.0058180979     -0.84440167
            0.1           0.048            -0.1               0               0               0     -0.84422054
            0.1           0.052          -0.096     -0.30353811      0.15416157    0.0083865973     -0.84372813
            0.1           0.052            -0.1               0               0               0     -0.84376101
            0.1           0.056          -0.096     -0.37046306      0.14819777    0.0094583025     -0.84266957
            0.1           0.056            -0.1               0               0               0     -0.84285347
            0.1            0.06          -0.096     -0.43960185      0.14102272    0.0097626855     -0.84119808
            0.1            0.06            -0.1               0               0               0     -0.84143298
            0.1           0.064          -0.096     -0.50979736      0.13285142     0.010210149     -0.83927468
            0.1           0.064            -0.1               0               0               0      -0.8394895
            0.1           0.068          -0.096     -0.58111937        0.123568      0.01150699     -0.83691632
            0.1           0.068            -0.1               0               0               0     -0.83713355
