#             x               y               z             U_x             U_y             U_z               p
           0.35          -0.098          -0.098     -0.36377958   -0.0032801256   -0.0045670464     -0.13225668
           0.35          -0.098          -0.094     -0.40918177   -0.0037274624    -0.013522446     -0.13253738
           0.35          -0.098           -0.09      -0.4201094   -0.0037527588    -0.025065295     -0.13301828
           0.35          -0.098          -0.086     -0.42716025   -0.0055363194    -0.033839897     -0.13373257
           0.35          -0.098          -0.082     -0.43171414   -0.0072482362    -0.040807685     -0.13448974
           0.35          -0.098          -0.078     -0.43320887   -0.0086005185    -0.045038525     -0.13535684
           0.35          -0.098          -0.074     -0.43169229   -0.0092315358    -0.047389843     -0.13625225
           0.35          -0.098           -0.07     -0.42738332    -0.009164328    -0.048290526     -0.13714783
           0.35          -0.098          -0.066     -0.42067141   -0.0086077347      -0.0484286     -0.13797092
           0.35          -0.098          -0.062     -0.41200548   -0.0077992581    -0.048214043     -0.13866857
           0.35          -0.098          -0.058     -0.40178606   -0.0068292473    -0.047914566     -0.13920509
           0.35          -0.098          -0.054     -0.39050803   -0.0057627243    -0.047641336     -0.13954436
           0.35          -0.098           -0.05     -0.37858773   -0.0046782588    -0.047439927     -0.13964867
           0.35          -0.098          -0.046     -0.36618775   -0.0037341552    -0.047128274     -0.13952091
           0.35          -0.098          -0.042     -0.35320262   -0.0031370728    -0.046545182     -0.13922392
           0.35          -0.098          -0.038     -0.33994465    -0.002965947     -0.04552143      -0.1387925
           0.35          -0.098          -0.034     -0.32652837   -0.0029374393    -0.043802483     -0.13821744
           0.35          -0.098           -0.03     -0.31359763   -0.0030562326    -0.041087808     -0.13753526
           0.35          -0.098          -0.026     -0.30149911    -0.003461179     -0.03719333     -0.13681205
           0.35          -0.098          -0.022     -0.29069082   -0.0040415287    -0.032004868     -0.13612477
           0.35          -0.098          -0.018     -0.28162805   -0.0045850715    -0.025637083     -0.13554673
           0.35          -0.098          -0.014      -0.2746952   -0.0049030317    -0.018257311     -0.13512632
           0.35          -0.098           -0.01     -0.27017665   -0.0048869111    -0.010283225     -0.13488815
           0.35          -0.098          -0.006     -0.26818166   -0.0047863466   -0.0020485718       -0.134847
           0.35          -0.098          -0.002      -0.2689335   -0.0047273421    0.0062700138     -0.13500546
           0.35          -0.098           0.002     -0.27225268   -0.0049014567     0.014333207     -0.13535682
           0.35          -0.098           0.006      -0.2780236    -0.004797073     0.022153287     -0.13589662
           0.35          -0.098            0.01     -0.28609717   -0.0043508713     0.029153865     -0.13659719
           0.35          -0.098           0.014     -0.29611693   -0.0038676759     0.035145386     -0.13742673
           0.35          -0.098           0.018     -0.30767871   -0.0033879234     0.040003274     -0.13832885
           0.35          -0.098           0.022     -0.32032821   -0.0030574618      0.04368316     -0.13923549
           0.35          -0.098           0.026     -0.33360913   -0.0030223671      0.04629468     -0.14007591
           0.35          -0.098            0.03      -0.3471236   -0.0032342493      0.04807919     -0.14079005
           0.35          -0.098           0.034     -0.36056029   -0.0036309723     0.049260052     -0.14134127
           0.35          -0.098           0.038     -0.37358585   -0.0042566374     0.050009197     -0.14168542
           0.35          -0.098           0.042     -0.38561662   -0.0049675309     0.050666263     -0.14176552
           0.35          -0.098           0.046     -0.39636973   -0.0061906059     0.051441676     -0.14164481
           0.35          -0.098            0.05     -0.40648683   -0.0073711017     0.052436639     -0.14130116
           0.35          -0.098           0.054     -0.41561273   -0.0083825165     0.053640906     -0.14077375
           0.35          -0.098           0.058     -0.42328224   -0.0092200487     0.054890722     -0.14009392
           0.35          -0.098           0.062     -0.42912157   -0.0098785353     0.055976583      -0.1392996
           0.35          -0.098           0.066     -0.43278549    -0.010148778     0.056552074     -0.13844398
           0.35          -0.098            0.07     -0.43398353   -0.0098307745     0.056109461     -0.13757993
           0.35          -0.098           0.074     -0.43254472   -0.0087998259     0.054055239     -0.13675672
           0.35          -0.098           0.078     -0.42854205   -0.0072539344      0.04983916     -0.13600941
           0.35          -0.098           0.082     -0.42229348   -0.0053037257     0.043304043     -0.13531835
           0.35          -0.098           0.086     -0.41489126   -0.0037429413     0.034132937     -0.13473064
           0.35          -0.098            0.09     -0.40771913   -0.0027423464     0.024254674     -0.13416754
           0.35          -0.098           0.094      -0.3984973   -0.0033930199      0.01243345     -0.13385923
           0.35          -0.098           0.098     -0.35329715   -0.0034235034    0.0041919457     -0.13366316
           0.35          -0.094          -0.098     -0.40950125    -0.010334591   -0.0047087281     -0.13266119
           0.35          -0.094          -0.094     -0.44561445    -0.015128566    -0.016147258     -0.13348413
           0.35          -0.094           -0.09     -0.45220583    -0.016735974    -0.025881546     -0.13448992
           0.35          -0.094          -0.086     -0.45177033    -0.018478361    -0.033616161     -0.13563783
           0.35          -0.094          -0.082     -0.44650771    -0.019475282    -0.039285189     -0.13688365
           0.35          -0.094          -0.078     -0.43732535    -0.019738524     -0.04324715     -0.13815837
           0.35          -0.094          -0.074     -0.42517931    -0.019188722    -0.046030601     -0.13932307
           0.35          -0.094           -0.07     -0.41084294    -0.017973031    -0.047969055     -0.14031247
           0.35          -0.094          -0.066     -0.39492206    -0.016273405    -0.049368729     -0.14108351
           0.35          -0.094          -0.062     -0.37786965    -0.014318591    -0.050454171     -0.14162308
           0.35          -0.094          -0.058     -0.36003523    -0.012318503    -0.051368963     -0.14191839
           0.35          -0.094          -0.054     -0.34168531     -0.01045496    -0.052121624     -0.14196052
           0.35          -0.094           -0.05     -0.32299266   -0.0088807201    -0.052603569     -0.14176207
           0.35          -0.094          -0.046     -0.30400751   -0.0077170159    -0.052654492     -0.14139131
           0.35          -0.094          -0.042     -0.28483409   -0.0069942096    -0.052132618     -0.14092618
           0.35          -0.094          -0.038     -0.26577547   -0.0066780438     -0.05085042     -0.14036031
           0.35          -0.094          -0.034     -0.24738418   -0.0068283876    -0.048592718     -0.13970431
           0.35          -0.094           -0.03     -0.23000669   -0.0073533911    -0.045183432     -0.13901343
           0.35          -0.094          -0.026     -0.21405906   -0.0081333859    -0.040549273      -0.1383571
           0.35          -0.094          -0.022     -0.19999771   -0.0090112006    -0.034734037     -0.13777536
           0.35          -0.094          -0.018     -0.18829236   -0.0098354978    -0.027863284     -0.13728686
           0.35          -0.094          -0.014     -0.17936987    -0.010451558    -0.020093021     -0.13690187
           0.35          -0.094           -0.01      -0.1735492    -0.010813709    -0.011611424     -0.13664114
           0.35          -0.094          -0.006     -0.17102416    -0.010958845   -0.0026761029     -0.13657132
           0.35          -0.094          -0.002     -0.17189076    -0.010833123     0.006380982     -0.13672697
           0.35          -0.094           0.002     -0.17608181    -0.010474174      0.01514281     -0.13712514
           0.35          -0.094           0.006     -0.18344179   -0.0099710925     0.023316863     -0.13767229
           0.35          -0.094            0.01     -0.19373423   -0.0092333449     0.030724401     -0.13831534
           0.35          -0.094           0.014     -0.20659069   -0.0083921741     0.037219382     -0.13906145
           0.35          -0.094           0.018       -0.221555   -0.0075919101     0.042673089     -0.13987482
           0.35          -0.094           0.022     -0.23811841   -0.0069747748     0.047039293     -0.14072562
           0.35          -0.094           0.026     -0.25580376    -0.006668931      0.05033596     -0.14158291
           0.35          -0.094            0.03     -0.27418586   -0.0067924658      0.05265047     -0.14239416
           0.35          -0.094           0.034     -0.29291351   -0.0072767544     0.054179435     -0.14309875
           0.35          -0.094           0.038     -0.31162666    -0.008171774     0.055060126     -0.14366608
           0.35          -0.094           0.042     -0.33006294   -0.0095009617     0.055562082     -0.14404071
           0.35          -0.094           0.046     -0.34779948     -0.01114325     0.055814365     -0.14426332
           0.35          -0.094            0.05     -0.36489355    -0.013129483     0.055929449     -0.14426917
           0.35          -0.094           0.054     -0.38132487    -0.015233567     0.056006036     -0.14401307
           0.35          -0.094           0.058     -0.39692157    -0.017305156     0.056057794     -0.14351267
           0.35          -0.094           0.062      -0.4114191    -0.019178477     0.055965094     -0.14279914
           0.35          -0.094           0.066     -0.42448616    -0.020657817     0.055523046     -0.14188716
           0.35          -0.094            0.07     -0.43569386    -0.021542113     0.054471042     -0.14080437
