#             x               y               z             U_x             U_y             U_z               p
           0.13          -0.098          -0.098     0.065919361   -0.0017086876   -0.0050657233       -0.350661
           0.13          -0.098          -0.094      0.08300362   -0.0076572629    0.0002268277     -0.35051463
           0.13          -0.098           -0.09     0.053844736    -0.011564625     0.012195917     -0.35058011
           0.13          -0.098          -0.086  -0.00092358779   -0.0014625405     0.016899992     -0.35055382
           0.13          -0.098          -0.082     -0.10490164     0.018863189     0.058103875     -0.35094035
           0.13          -0.098          -0.078     -0.20918026     0.036682309      0.10575024     -0.35105775
           0.13          -0.098          -0.074     -0.27830655     0.043745409       0.1267067     -0.35364433
           0.13          -0.098           -0.07     -0.29969305       0.0405382      0.13022782     -0.35936998
           0.13          -0.098          -0.066     -0.29153845     0.034577904      0.12317175     -0.36571982
           0.13          -0.098          -0.062     -0.26535145     0.029534552      0.11302615     -0.37190879
           0.13          -0.098          -0.058      -0.2252666     0.025512106      0.10381294     -0.37770992
           0.13          -0.098          -0.054     -0.17173307     0.021380437     0.097164518     -0.38290549
           0.13          -0.098           -0.05     -0.10725012     0.017275752     0.094256938     -0.38728555
           0.13          -0.098          -0.046    -0.038800036     0.012029646     0.091175334     -0.39033015
           0.13          -0.098          -0.042     0.037430057     0.017500387      0.10524104     -0.39191739
           0.13          -0.098          -0.038      0.13564001     0.014290135      0.10978718      -0.3931168
           0.13          -0.098          -0.034      0.21693818    -0.011104292      0.11089739     -0.39484339
           0.13          -0.098           -0.03      0.24620347    -0.028413972      0.12067323     -0.39356386
           0.13          -0.098          -0.026      0.24982208    -0.029265934      0.13469279      -0.3924141
           0.13          -0.098          -0.022      0.23590642    -0.025373334      0.13737404     -0.39332754
           0.13          -0.098          -0.018      0.19907719    -0.011933356      0.11738434     -0.39385098
           0.13          -0.098          -0.014      0.15022196     0.012411457     0.058102241      -0.3925878
           0.13          -0.098           -0.01      0.17132554     0.026855673     0.026894968     -0.39118881
           0.13          -0.098          -0.006      0.22119007     0.020107498     0.018973826     -0.39219096
           0.13          -0.098          -0.002      0.23620459    0.0083381209     0.010699657     -0.39285361
           0.13          -0.098           0.002      0.23637812   -0.0012633552     0.014923903     -0.39281415
           0.13          -0.098           0.006      0.23120371    -0.008042789      0.02986155     -0.39252994
           0.13          -0.098            0.01      0.22415087    -0.011194256      0.05212982      -0.3927591
           0.13          -0.098           0.014      0.21610066   -0.0079834405     0.076814377     -0.39359278
           0.13          -0.098           0.018      0.20619132    0.0005443008     0.090962428     -0.39512111
