#             x               y               z             U_x             U_y             U_z               p
            0.1          -0.098          -0.098    0.0049527739   -0.0092100254    -0.022857524     -0.34348744
            0.1          -0.098          -0.094     0.026089948    -0.016100903    -0.024095278     -0.34297129
            0.1          -0.098           -0.09     0.032748641    -0.023214316    -0.013775606     -0.34081162
            0.1          -0.098          -0.086     0.020708618    -0.026274335    0.0064844583     -0.33849146
            0.1          -0.098          -0.082     0.001113297    -0.023793642     0.030197911     -0.33815683
            0.1          -0.098          -0.078    -0.020208693    -0.016164924     0.051620922     -0.34027156
            0.1          -0.098          -0.074    -0.042732263    -0.005617895     0.068002011     -0.34394812
            0.1          -0.098           -0.07    -0.064649794    0.0047094384     0.076995079     -0.34801166
            0.1          -0.098          -0.066    -0.082826389     0.013621341     0.079972777     -0.35165576
            0.1          -0.098          -0.062    -0.096836218     0.020807407     0.081489642     -0.35453364
            0.1          -0.098          -0.058     -0.10533091     0.025752604     0.083255114     -0.35669132
            0.1          -0.098          -0.054     -0.10556679     0.028272137     0.084065353     -0.35849223
            0.1          -0.098           -0.05    -0.096443473     0.029083982     0.083499002     -0.36032643
            0.1          -0.098          -0.046    -0.079059196     0.029045243     0.082183966     -0.36241404
            0.1          -0.098          -0.042    -0.055497456     0.028181344     0.080165435     -0.36492157
            0.1          -0.098          -0.038    -0.027235325     0.025534472     0.077989403     -0.36795716
            0.1          -0.098          -0.034    0.0050938312     0.020323135     0.076682701     -0.37141917
            0.1          -0.098           -0.03     0.039617032     0.012037624     0.076061014     -0.37500334
            0.1          -0.098          -0.026     0.070424789    0.0028869163       0.0729768     -0.37830395
            0.1          -0.098          -0.022     0.089458798    0.0005091439     0.064451179     -0.38107797
            0.1          -0.098          -0.018     0.093683449    0.0087302834     0.049622509     -0.38331407
            0.1          -0.098          -0.014     0.091301843     0.017391562     0.026274566     -0.38570362
            0.1          -0.098           -0.01     0.092113616     0.012996295    0.0029231855     -0.38917384
            0.1          -0.098          -0.006     0.094326252   -0.0042970659   -0.0064679619     -0.39255073
            0.1          -0.098          -0.002     0.093867714    -0.022989435   -0.0008065854     -0.39315955
            0.1          -0.098           0.002     0.091975932    -0.033506765     0.014195166     -0.39107807
            0.1          -0.098           0.006     0.090406449    -0.033705345     0.032060683     -0.38955061
            0.1          -0.098            0.01     0.089501724    -0.024804595     0.046529813     -0.39051009
            0.1          -0.098           0.014      0.08882663   -0.0091287004     0.051077344     -0.39255731
            0.1          -0.098           0.018     0.086931608    0.0082855928     0.043402307     -0.39292784
            0.1          -0.098           0.022     0.082590169      0.01957628     0.022995107     -0.39030689
            0.1          -0.098           0.026     0.081401545     0.016565929    -0.006999049     -0.38671252
            0.1          -0.098            0.03     0.089253763    0.0016001572    -0.030050805     -0.38509853
            0.1          -0.098           0.034     0.097011834    -0.012611617    -0.038496269     -0.38554119
            0.1          -0.098           0.038     0.094646643     -0.01814004    -0.038187361     -0.38679939
            0.1          -0.098           0.042     0.085104997     -0.01528386    -0.034726362     -0.38869739
            0.1          -0.098           0.046     0.075025485   -0.0078160798    -0.033151792     -0.39090871
            0.1          -0.098            0.05      0.06727602   2.2402522e-05    -0.033914187     -0.39243265
            0.1          -0.098           0.054     0.061971651    0.0059580239    -0.035075809      -0.3927257
            0.1          -0.098           0.058      0.05991293    0.0096766581    -0.035846274     -0.39191981
            0.1          -0.098           0.062       0.0617065     0.011838738    -0.035919862     -0.39023817
            0.1          -0.098           0.066      0.06720459     0.013775894    -0.034379575     -0.38768144
            0.1          -0.098            0.07     0.074830438      0.01618751    -0.031812073      -0.3842325
            0.1          -0.098           0.074     0.081611346     0.017393765    -0.030990604     -0.38020803
            0.1          -0.098           0.078     0.085366079     0.015783209     -0.03121502     -0.37619719
            0.1          -0.098           0.082     0.086139499      0.01271755    -0.030398888     -0.37251757
            0.1          -0.098           0.086     0.084031089     0.010178556    -0.027624011     -0.36904956
            0.1          -0.098            0.09     0.073920471    0.0089872626    -0.021035442     -0.36578776
            0.1          -0.098           0.094     0.041036678    0.0087393399    -0.011091592     -0.36333089
            0.1          -0.098           0.098   7.0854236e-14   1.2991004e-13  -1.2010139e-13     -0.36222476
            0.1          -0.094          -0.098     0.018846126   -0.0053899535    -0.028402646      -0.3433892
            0.1          -0.094          -0.094     0.040117105    -0.018749143    -0.048354235       -0.341415
            0.1          -0.094           -0.09     0.040737469     -0.02970037    -0.033719455     -0.33747605
            0.1          -0.094          -0.086   -0.0010249739    -0.031734045    0.0065023837     -0.33440121
            0.1          -0.094          -0.082    -0.061709549    -0.022334341     0.056644411     -0.33455248
            0.1          -0.094          -0.078     -0.12124066   -0.0038932668      0.10272113      -0.3377171
            0.1          -0.094          -0.074      -0.1746464      0.01867418      0.13845711     -0.34241947
            0.1          -0.094           -0.07     -0.22169643      0.04001184      0.16262317     -0.34752362
            0.1          -0.094          -0.066     -0.25908719     0.056433786      0.17429745     -0.35218692
            0.1          -0.094          -0.062     -0.28376707     0.067731309      0.17669624     -0.35592771
            0.1          -0.094          -0.058     -0.29587103     0.075252038      0.17610889     -0.35874616
            0.1          -0.094          -0.054     -0.29499632     0.079641298      0.17491908      -0.3610014
            0.1          -0.094           -0.05     -0.27962485     0.081337432      0.17266691      -0.3631117
            0.1          -0.094          -0.046      -0.2495763      0.08129586      0.16995843     -0.36534952
            0.1          -0.094          -0.042     -0.20656383     0.080348597      0.16792414     -0.36787474
            0.1          -0.094          -0.038     -0.15261299     0.078205031      0.16666042     -0.37074247
            0.1          -0.094          -0.034    -0.088057186     0.073195174      0.16651811     -0.37379941
            0.1          -0.094           -0.03     -0.01243905     0.062170203      0.16751337     -0.37673492
            0.1          -0.094          -0.026     0.070310785     0.043096416      0.16557749     -0.37928115
            0.1          -0.094          -0.022      0.14405036     0.023783196      0.15373314     -0.38155641
            0.1          -0.094          -0.018      0.18549408       0.0217581      0.12931407     -0.38390171
            0.1          -0.094          -0.014      0.19111072      0.03559748     0.093863774     -0.38676631
            0.1          -0.094           -0.01      0.18432657      0.03598119     0.053694419     -0.39066639
            0.1          -0.094          -0.006      0.18236609    0.0046684829     0.023991756     -0.39449762
            0.1          -0.094          -0.002      0.18275128    -0.041968101     0.016377009     -0.39579526
            0.1          -0.094           0.002      0.18178157    -0.076476877     0.028465785     -0.39461212
            0.1          -0.094           0.006      0.18011749    -0.086113466     0.050792059     -0.39385134
            0.1          -0.094            0.01      0.17911791    -0.071299895     0.072648008     -0.39516814
            0.1          -0.094           0.014      0.17927582    -0.037943765     0.084606526     -0.39708731
            0.1          -0.094           0.018      0.17888847     0.004692466     0.079927954      -0.3968644
            0.1          -0.094           0.022      0.17537914     0.041764059     0.056089264     -0.39317959
            0.1          -0.094           0.026      0.17261063     0.051257276     0.011223832     -0.38817531
            0.1          -0.094            0.03      0.17693085      0.02615747    -0.041812613     -0.38551292
            0.1          -0.094           0.034      0.17781371   -0.0075144784     -0.07774354     -0.38593362
            0.1          -0.094           0.038      0.15830799    -0.021981412    -0.092541542      -0.3879686
            0.1          -0.094           0.042      0.12283995    -0.015729328    -0.098208548     -0.39070745
            0.1          -0.094           0.046     0.087000458   8.9250785e-05     -0.10190883     -0.39344758
            0.1          -0.094            0.05      0.05896844      0.01686565     -0.10506175     -0.39526865
            0.1          -0.094           0.054     0.041306391      0.02941394     -0.10717755     -0.39581285
            0.1          -0.094           0.058     0.035801481     0.036021316     -0.10735563     -0.39529431
            0.1          -0.094           0.062     0.045387711     0.037470745     -0.10482016      -0.3939038
            0.1          -0.094           0.066     0.071928892     0.036199164    -0.097704044      -0.3915846
            0.1          -0.094            0.07      0.11063437     0.035784924    -0.085007839     -0.38825254
            0.1          -0.094           0.074      0.14771415     0.037280485    -0.070738271     -0.38414663
            0.1          -0.094           0.078      0.17157361     0.037617001    -0.061253452     -0.37985728
            0.1          -0.094           0.082      0.18190169     0.033973147     -0.05734994     -0.37581085
            0.1          -0.094           0.086      0.18461065     0.027314398    -0.055271795     -0.37195822
            0.1          -0.094            0.09      0.17983857     0.022106634    -0.049297649     -0.36821158
            0.1          -0.094           0.094        0.142211     0.021916387    -0.034701204      -0.3650935
            0.1          -0.094           0.098     0.041036678    0.0087393399    -0.011091592     -0.36351404
            0.1           -0.09          -0.098     0.023014375    0.0054347538    -0.034807121     -0.34254456
            0.1           -0.09          -0.094     0.032464307    0.0014673704    -0.055977891     -0.33889051
            0.1           -0.09           -0.09    -0.012022014    0.0028568361    -0.026612794     -0.33302289
            0.1           -0.09          -0.086     -0.11161246     0.015935791     0.032470667     -0.32963647
            0.1           -0.09          -0.082     -0.22303587     0.039794923     0.094992121     -0.33137626
            0.1           -0.09          -0.078     -0.30846678     0.065455792      0.14109877     -0.33672499
            0.1           -0.09          -0.074     -0.36484187     0.087675562      0.16865701       -0.343216
            0.1           -0.09           -0.07     -0.40242704       0.1043551      0.18353725     -0.34954201
            0.1           -0.09          -0.066     -0.42574482      0.11453716      0.19013064     -0.35520165
            0.1           -0.09          -0.062     -0.43501561       0.1188706      0.19050844     -0.35986871
            0.1           -0.09          -0.058     -0.43139487      0.11934235      0.18703954     -0.36349304
            0.1           -0.09          -0.054     -0.41622123      0.11816566      0.18180269     -0.36634401
            0.1           -0.09           -0.05     -0.39087153      0.11662638      0.17580507     -0.36875082
            0.1           -0.09          -0.046     -0.35664055      0.11518939      0.17028347     -0.37097718
            0.1           -0.09          -0.042     -0.31425479      0.11392489      0.16670725      -0.3732031
            0.1           -0.09          -0.038     -0.26372961      0.11266523      0.16581826     -0.37550365
            0.1           -0.09          -0.034     -0.20390505      0.11102478      0.16798582     -0.37781399
            0.1           -0.09           -0.03      -0.1317066      0.10788481      0.17336452     -0.37992858
            0.1           -0.09          -0.026    -0.043567693     0.098515211      0.17977573     -0.38164893
            0.1           -0.09          -0.022     0.056183033     0.079329276      0.17937563     -0.38311088
            0.1           -0.09          -0.018      0.14259187     0.060860398      0.16382534     -0.38496411
            0.1           -0.09          -0.014      0.18515438     0.054977978      0.13391065     -0.38768402
            0.1           -0.09           -0.01      0.18733541     0.044723449     0.099161051     -0.39126892
            0.1           -0.09          -0.006      0.17791974    0.0042182411     0.072785262     -0.39474325
            0.1           -0.09          -0.002      0.17301746    -0.056791605     0.060798829     -0.39641339
            0.1           -0.09           0.002      0.17271515     -0.10409194     0.059658729     -0.39652986
            0.1           -0.09           0.006      0.17343939     -0.11753633     0.063480799     -0.39727961
            0.1           -0.09            0.01      0.17473217    -0.096826998     0.065420768     -0.39963711
            0.1           -0.09           0.014      0.17753081    -0.050799817      0.05931907      -0.4019765
            0.1           -0.09           0.018      0.18016097    0.0067833232     0.042564537      -0.4016249
            0.1           -0.09           0.022       0.1801287     0.057620232     0.016895371     -0.39722313
            0.1           -0.09           0.026      0.17912981     0.076288555    -0.019626828     -0.39073801
            0.1           -0.09            0.03      0.17311158     0.053406455    -0.066083114     -0.38625314
            0.1           -0.09           0.034      0.14325588     0.020818858     -0.10494746     -0.38546536
            0.1           -0.09           0.038     0.080556151     0.013229786     -0.12876308     -0.38714456
            0.1           -0.09           0.042    0.0016375321     0.029553133     -0.14570077     -0.38986456
            0.1           -0.09           0.046    -0.071351981      0.05263602     -0.15899061      -0.3926291
            0.1           -0.09            0.05     -0.12745755     0.072013966     -0.16800927     -0.39460609
            0.1           -0.09           0.054     -0.16474116     0.084236441     -0.17125499     -0.39552262
            0.1           -0.09           0.058     -0.18193562     0.088579417     -0.16927584     -0.39556332
            0.1           -0.09           0.062     -0.17469801     0.085720004     -0.16302661      -0.3948607
            0.1           -0.09           0.066     -0.13728413     0.077208628     -0.15096206     -0.39337705
            0.1           -0.09            0.07    -0.067997811       0.0658889     -0.13007387      -0.3910278
            0.1           -0.09           0.074     0.021565833     0.055460191     -0.10110123     -0.38796333
            0.1           -0.09           0.078      0.10381537     0.049131727    -0.072253635     -0.38459128
            0.1           -0.09           0.082       0.1554364     0.045255447    -0.053132625     -0.38104102
            0.1           -0.09           0.086      0.17976775      0.03885323    -0.046053377     -0.37705447
            0.1           -0.09            0.09      0.18996436     0.030130307    -0.043756949     -0.37265153
            0.1           -0.09           0.094      0.17337916     0.026383924     -0.03539966     -0.36862681
            0.1           -0.09           0.098     0.068290532     0.012929124    -0.013665762     -0.36632146
            0.1          -0.086          -0.098     0.019058951     0.025044912    -0.037327984     -0.34192475
            0.1          -0.086          -0.094     0.005399489     0.039354147    -0.056115079     -0.33737705
            0.1          -0.086           -0.09    -0.095689161     0.053899455   -0.0097928749     -0.33102395
            0.1          -0.086          -0.086     -0.24514284      0.07783206     0.064302329     -0.32915244
            0.1          -0.086          -0.082     -0.37754417      0.10690637      0.13226643     -0.33337043
            0.1          -0.086          -0.078     -0.45933037       0.1288266      0.17046461     -0.34071583
            0.1          -0.086          -0.074      -0.4971001      0.14041764       0.1856723     -0.34855256
            0.1          -0.086           -0.07     -0.50828747      0.14364016      0.18858324     -0.35542704
            0.1          -0.086          -0.066     -0.50545417      0.14226248      0.18669169     -0.36115342
            0.1          -0.086          -0.062     -0.49367931      0.13880589      0.18287621     -0.36584674
            0.1          -0.086          -0.058     -0.47514193      0.13469323      0.17785673     -0.36962599
            0.1          -0.086          -0.054     -0.45111672      0.13109269      0.17230743     -0.37267384
            0.1          -0.086           -0.05     -0.42237906      0.12857799      0.16669578     -0.37519276
            0.1          -0.086          -0.046     -0.38927902      0.12714332      0.16151871     -0.37734031
            0.1          -0.086          -0.042     -0.35173101      0.12645623      0.15746045     -0.37924814
            0.1          -0.086          -0.038     -0.30919663       0.1262264      0.15511778     -0.38100412
            0.1          -0.086          -0.034     -0.26054368       0.1263042      0.15500267     -0.38260291
            0.1          -0.086           -0.03     -0.20364906      0.12681516      0.15799773     -0.38396266
            0.1          -0.086          -0.026      -0.1344479      0.12683374      0.16511021     -0.38501834
            0.1          -0.086          -0.022    -0.047908162      0.12162024      0.17443293     -0.38580614
            0.1          -0.086          -0.018     0.049849357      0.10686299       0.1783074     -0.38668024
            0.1          -0.086          -0.014      0.12958473     0.086185243      0.16769522     -0.38813495
            0.1          -0.086           -0.01        0.165163     0.056595414        0.143358     -0.39011797
            0.1          -0.086          -0.006      0.16734246    0.0038634255      0.11547531     -0.39197081
            0.1          -0.086          -0.002      0.16465327    -0.065661781      0.09205161     -0.39333037
            0.1          -0.086           0.002       0.1669585     -0.11952435     0.075065889     -0.39485361
            0.1          -0.086           0.006      0.16868767     -0.13407469     0.061338856     -0.39761758
            0.1          -0.086            0.01      0.16997572     -0.10775315     0.045571507     -0.40153405
