#             x               y               z             U_x             U_y             U_z               p
           0.35          -0.098          -0.098     -0.35279041   -0.0037277035   -0.0039281521     -0.13475919
           0.35          -0.098          -0.094     -0.39803917   -0.0039435531    -0.011283729     -0.13495413
           0.35          -0.098           -0.09     -0.40713891   -0.0033435552    -0.022174336     -0.13529051
           0.35          -0.098          -0.086     -0.41420251   -0.0042120071    -0.031353596     -0.13590957
           0.35          -0.098          -0.082     -0.42165793   -0.0055414754    -0.040273242     -0.13659357
           0.35          -0.098          -0.078     -0.42820176   -0.0072098934    -0.047031028     -0.13743161
           0.35          -0.098          -0.074     -0.43267561   -0.0084290403    -0.051926721     -0.13836091
           0.35          -0.098           -0.07     -0.43465044    -0.009154567    -0.055089411     -0.13937878
           0.35          -0.098          -0.066     -0.43395776   -0.0092461859    -0.057009365      -0.1404359
           0.35          -0.098          -0.062     -0.43065805   -0.0088422819    -0.058161708      -0.1414707
           0.35          -0.098          -0.058      -0.4249351   -0.0080986831    -0.058967322     -0.14242464
           0.35          -0.098          -0.054     -0.41699804   -0.0070596966    -0.059692057     -0.14324626
           0.35          -0.098           -0.05     -0.40702585   -0.0057897852     -0.06054766     -0.14388214
           0.35          -0.098          -0.046     -0.39531411   -0.0045840569    -0.061572951     -0.14426907
           0.35          -0.098          -0.042     -0.38215518   -0.0035272546    -0.062592951     -0.14437138
           0.35          -0.098          -0.038     -0.36775235   -0.0026316333    -0.063242668     -0.14419571
           0.35          -0.098          -0.034     -0.35206905   -0.0020083937    -0.063143098      -0.1437903
           0.35          -0.098           -0.03     -0.33508398   -0.0018642437    -0.062121789     -0.14322271
           0.35          -0.098          -0.026     -0.31725424   -0.0021589594    -0.060032483     -0.14252349
           0.35          -0.098          -0.022     -0.29882764   -0.0027566539    -0.056462372     -0.14169991
           0.35          -0.098          -0.018     -0.28067438    -0.003465438    -0.051124934     -0.14082584
           0.35          -0.098          -0.014     -0.26343843   -0.0042350833    -0.043988959     -0.13998889
           0.35          -0.098           -0.01     -0.24778135   -0.0050553341    -0.035182736     -0.13927094
           0.35          -0.098          -0.006     -0.23432386     -0.00553339     -0.02482917     -0.13872702
           0.35          -0.098          -0.002     -0.22356907   -0.0055134275    -0.013564497     -0.13837789
           0.35          -0.098           0.002     -0.21564621   -0.0054956184   -0.0017125912     -0.13825993
           0.35          -0.098           0.006     -0.21104882   -0.0055485997     0.010653173     -0.13840208
           0.35          -0.098            0.01     -0.21027376   -0.0058756211      0.02308743     -0.13881849
           0.35          -0.098           0.014     -0.21313721   -0.0059071073     0.035790417     -0.13949596
           0.35          -0.098           0.018     -0.21970939   -0.0052183593     0.047855387     -0.14042622
           0.35          -0.098           0.022     -0.22982828   -0.0042733394     0.058900655     -0.14160295
